,wavelength
0,426.82
1,436.99
2,447.17
3,457.34
4,467.52
5,477.69
6,487.87
7,498.04
8,508.22
9,518.39
10,528.57
11,538.74
12,548.92
13,559.09
14,569.27
15,579.45
16,589.62
17,599.8
18,609.97
19,620.15
20,630.32
21,640.5
22,650.67
23,660.85
24,671.02
25,681.2
26,691.37
27,701.55
28,711.72
29,721.9
30,732.07
31,742.25
32,752.43
33,762.6
34,772.78
35,782.95
36,793.13
37,803.3
38,813.48
39,823.65
40,833.83
41,844.0
42,854.18
43,864.35
44,874.53
45,884.7
46,894.88
47,905.05
48,915.23
49,922.54
50,932.64
51,942.73
52,952.82
53,962.91
54,972.99
55,983.08
56,993.17
57,1003.3
58,1013.3
59,1023.4
60,1033.49
61,1043.59
62,1053.69
63,1063.79
64,1073.89
65,1083.99
66,1094.09
67,1104.19
68,1114.19
69,1124.28
70,1134.38
71,1144.48
72,1154.58
73,1164.68
74,1174.77
75,1184.87
76,1194.97
77,1205.07
78,1215.17
79,1225.17
80,1235.27
81,1245.36
82,1255.46
83,1265.56
84,1275.66
85,1285.76
86,1295.86
87,1305.96
88,1316.05
89,1326.05
90,1336.15
91,1346.25
92,1356.35
93,1366.45
94,1376.55
95,1386.65
96,1396.74
97,1406.84
98,1416.94
99,1426.94
100,1437.04
101,1447.14
102,1457.23
103,1467.33
104,1477.43
105,1487.53
106,1497.63
107,1507.73
108,1517.83
109,1527.92
110,1537.92
111,1548.02
112,1558.12
113,1568.22
114,1578.32
115,1588.42
116,1598.51
117,1608.61
118,1618.71
119,1628.81
120,1638.81
121,1648.9
122,1659.0
123,1669.1
124,1679.2
125,1689.3
126,1699.4
127,1709.5
128,1719.6
129,1729.7
130,1739.7
131,1749.79
132,1759.89
133,1769.99
134,1780.09
135,1790.19
136,1800.29
137,1810.38
138,1820.48
139,1830.58
140,1840.58
141,1850.68
142,1860.78
143,1870.87
144,1880.98
145,1891.07
146,1901.17
147,1911.27
148,1921.37
149,1931.47
150,1941.57
151,1951.57
152,1961.66
153,1971.76
154,1981.86
155,1991.96
156,2002.06
157,2012.15
158,2022.25
159,2032.35
160,2042.45
161,2052.45
162,2062.55
163,2072.65
164,2082.75
165,2092.84
166,2102.94
167,2113.04
168,2123.14
169,2133.24
170,2143.34
171,2153.34
172,2163.43
173,2173.53
174,2183.63
175,2193.73
176,2203.83
177,2213.93
178,2224.03
179,2234.12
180,2244.22
181,2254.22
182,2264.32
183,2274.42
184,2284.52
185,2294.61
186,2304.71
187,2314.81
188,2324.91
189,2335.01
190,2345.11
191,2355.21
192,2365.2
193,2375.3
194,2385.4
